timestamp_us,magX_uT,magY_uT,magZ_uT
1760882796,-31.293,2.902,12.598
1760889796,-31.263,3.844,21.184
1760896796,-29.419,1.114,15.624
1760903796,-31.588,6.711,12.311
1760910796,-28.808,5.817,13.544
1760917796,-28.018,0.037,20.924
1760925293,-35.357,1.962,19.492
1760933240,-30.115,6.312,23.165
1760941144,-29.08,1.626,23.198
1760949053,-30.523,5.27,9.782
1760956971,-34.436,6.196,5.278
1760964805,-26.562,0.423,11.039
1760971796,-29.774,4.001,19.897
1760978796,-31.894,1.429,13.633
1760985796,-27.464,0.598,23.438
1760992796,-29.32,3.529,8.013
1760999796,-25.456,4.179,16.041
1761006796,-28.006,5.026,19.608
1761013796,-28.606,3.114,20.648
1761020796,-30.766,0.074,17.423
1761027796,-30.331,6.368,17.353
1761034796,-32.409,4.013,18.923
1761041796,-34.342,6.638,20.188
1761048796,-25.57,6.003,24.367
1761055796,-29.229,0.225,1.472
1761062796,-26.921,0.963,15.842
1761069796,-28.562,3.292,17.359
1761076796,-24.123,2.573,15.533
1761083796,-24.936,-0.16,10.516
1761090796,-25.531,7.203,21.32
1761097796,-28.366,1.862,13.831
1761104796,-30.339,3.579,18.14
1761111881,-33.423,7.982,17.38
1761123796,-30.819,5.603,20.907
1761130797,-30.222,2.637,9.552
1761137796,-31.301,3.629,13.097
1761144796,-28.172,-1.328,10.575
1761151796,-25.015,4.765,16.029
1761158796,-30.728,2.006,14.369
1761165796,-33.563,4.324,17.167
1761172796,-29.209,5.261,10.522
1761179796,-31.871,5.694,11.567
1761186796,-31.043,9.17,15.311
1761193796,-29.965,5.98,12.042
1761200796,-33.904,7.075,20.43
1761207796,-24.161,6.208,18.024
1761214796,-32.768,7.191,23.446
1761221796,-30.979,6.139,10.791
1761228796,-29.476,3.418,19.646
1761235796,-30.395,5.59,22.165
1761242796,-35.945,0.31,8.646
1761249796,-31.908,2.151,14.637
1761256796,-30.023,0.12,27.778
1761263796,-31.165,4.939,13.84
1761270796,-30.181,3.294,17.382
1761277796,-27.212,10.781,14.735
1761284796,-37.075,4.008,4.832
1761291796,-29.246,8.165,13.021
1761298796,-30.141,3.616,14.344
1761305796,-25.553,8.945,22.82
1761312796,-25.946,8.101,19.295
1761319796,-27.026,-0.619,12.826
1761326796,-35.486,5.743,6.814
1761333796,-27.363,3.119,4.703
1761340796,-28.76,1.75,10.299
1761347796,-27.925,5.085,13.539
1761354796,-32.397,0.904,7.325
1761361796,-26.535,6.97,30.439
1761368796,-32.472,7.737,12.313
1761375796,-27.834,2.219,6.994
1761382796,-24.804,4.957,11.22
1761389796,-31.75,4.21,13.603
1761396796,-27.692,7.343,6.939
1761403796,-31.721,0.17,22.745
1761410796,-28.267,0.907,6.508
1761417796,-30.651,4.153,19.402
1761424796,-29.866,4.732,4.722
1761431797,-31.012,2.306,13.612
1761438796,-29.677,8.466,12.265
1761445796,-35.867,7.586,13.121
1761452796,-30.605,2.574,16.131
1761459796,-27.931,5.854,24.908
1761467152,-26.679,2.097,19.62
1761475102,-28.635,6.569,11.511
1761483011,-28.638,2.757,12.056
1761490952,-30.09,6.875,10.265
1761498886,-25.876,2.584,14.547
1761506809,-35.481,1.351,6.859
1761514800,-31.88,3.783,12.345
1761521796,-36.926,7.608,26.283
1761528796,-27.952,5.651,15.556
1761535796,-29.742,1.973,17.642
1761542796,-32.659,-0.349,15.938
1761549797,-34.102,1.87,13.66
1761556796,-30.397,7.786,22.142
1761563796,-29.698,3.657,25.209
1761570796,-28.584,3.382,8.004
1761577796,-32.688,5.636,17.647
1761584796,-31.992,6.152,9.541
1761591796,-35.183,5.351,17.179
1761598796,-31.524,-2.913,8.363
1761605796,-29.563,10.933,14.514
1761612796,-29.983,13.585,12.723
1761619796,-26.78,4.034,16.062
1761626796,-25.898,1.542,16.327
1761633796,-26.169,7.86,13.991
1761640796,-34.366,2.771,11.379
1761647796,-31.196,6.57,26.97
1761654796,-34.388,4.22,12.882
1761661796,-33.209,5.1,12.603
1761668796,-31.361,2.707,17.658
1761675796,-32.114,6.065,18.645
1761682796,-29.851,8.007,14.295
1761689796,-28.702,5.495,16.58
1761696796,-32.662,9.464,15.332
1761703796,-28.02,7.173,9.474
1761710796,-25.104,3.488,11.745
1761717796,-38.667,2.019,13.977
1761724796,-32.261,5.145,7.786
1761731796,-30.468,1.061,6.032
1761738796,-29.609,2.842,18.642
1761745796,-33.681,5.957,14.876
1761752796,-32.436,5.418,9.808
1761759796,-30.001,4.635,14.837
1761766796,-28.391,2.43,15.595
1761773796,-30.275,4.65,13.324
1761780796,-29.344,1.795,20.925
1761787796,-29.649,-0.703,21.966
1761794796,-28.535,6.535,15.05
1761801796,-25.905,7.691,16.264
1761808796,-34.341,-0.979,20.772
1761815796,-29.528,0.89,23.718
1761822796,-30.524,3.072,10.057
1761829796,-32.833,1.349,6.821
1761836796,-32.544,5.487,17.899
1761843796,-29.641,3.071,10.045
1761850796,-30.36,3.083,8.791
1761857796,-28.709,5.637,17.084
1761864796,-31.077,6.215,18.123
1761871796,-30.932,4.895,18.387
1761878797,-31.626,6.684,15.092
1761885797,-21.799,6.903,6.354
1761892796,-39.576,11.084,15.161
1761899796,-29.029,8.256,18.831
1761906796,-31.639,6.821,16.102
1761913796,-29.998,5.077,14.58
1761920796,-29.935,-2.748,21.485
1761927796,-30.703,4.66,12.319
1761934796,-33.273,1.83,17.694
1761941796,-30.835,-0.017,11.61
1761948796,-35.065,0.495,19.756
1761955796,-19.78,1.597,9.919
1761962796,-35.999,-0.314,12.699
1761969796,-33.575,1.784,7.333
1761976796,-26.982,0.48,20.399
1761983796,-32.045,-0.437,25.031
1761990796,-32.671,5.209,16.387
1761997796,-33.995,1.255,16.699
1762004796,-30.786,12.805,17.799
1762012121,-32.291,5.604,20.928
1762020457,-30.655,5.029,19.646
1762028425,-33.554,3.054,27.545
1762036321,-31.872,13.311,10.983
1762044239,-36.337,-1.077,15.998
1762052136,-26.993,10.686,9.423
1762059800,-31.29,-0.758,12.636
1762066796,-38.27,1.987,17.258
1762073797,-37.411,12.078,18.153
1762080796,-25.916,11.785,16.728
1762087796,-31.681,4.154,19.417
1762094796,-27.438,5.158,21.116
1762101796,-28.564,3.689,6.484
1762108796,-25.606,5.244,27.156
